K,fs,disc,score,accuracy,mean_prob_true,n_features_including_target,features,time_sec,error
12,pca,dbscan,aic,0.42,0.16234126874913998,3.0,"['pca_11', 'pca_12', 'throughput']",0.16212775000002466,
15,markov,classic_uniform,bic,0.44,0.3682690091478155,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",8.509976416999962,
15,markov,classic_uniform,aic,0.44,0.3682690091478155,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",8.746098834000009,
15,markov,classic_quantile,bic,0.732,0.582784835282294,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",8.59297212499996,
15,markov,classic_quantile,aic,0.732,0.5842620682159734,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",8.999354417000006,
15,markov,kmeans,bic,0.44,0.3680975206872899,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",8.709275875000003,
15,markov,kmeans,aic,0.44,0.3680975206872899,16.0,"['cores', 'data_quality', 'container_fs_usage_bytes', 'container_last_seen', 'container_memory_cache', 'avg_p_latency', 'container_cpu_cfs_throttled_seconds_total', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_working_set_bytes', 'container_memory_usage_bytes', 'container_memory_mapped_file', 'container_cpu_system_seconds_total', 'container_cpu_usage_seconds_total', 'container_cpu_cfs_throttled_periods_total', 'throughput']",9.097394457999997,
15,markov,dbscan,bic,0.0,0.029459059610466267,8.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",7.8825614170000335,
15,markov,dbscan,aic,0.0,0.030419882280306676,8.0,"['cores', 'data_quality', 'container_memory_cache', 'avg_p_latency', 'container_memory_rss', 'container_memory_max_usage_bytes', 'container_memory_mapped_file', 'throughput']",7.765131040999961,
15,mrmr,classic_uniform,bic,0.44,0.3682690091478155,13.0,"['container_fs_usage_bytes', 'container_fs_reads_bytes_total', 'avg_p_latency', 'container_memory_cache', 'container_cpu_cfs_throttled_seconds_total', 'data_quality', 'container_memory_max_usage_bytes', 'container_cpu_user_seconds_total', 'container_memory_mapped_file', 'container_last_seen', 'container_cpu_system_seconds_total', 'cores', 'throughput']",9.054372583000031,
